post_id,tweet,subject_keyword,sentiment
20,"If Kasi Thatha doesn't bring him into the dressing room, then we are doomed for another 3-4 years!! @mukundabhinav proves why he is the cricket Chanakya again. #IPL2026 #CSK",CSK,neutral
21,"CSK told to get Hardik Pandya in trade deal with Mumbai Indians, transfer these two players #HardikPandya #CSK",CSK,neutral
22,"If cooking is an art, then #CSK admin is Picasso. #IPL2026 #WhistlePodu #RCBvGT",CSK,neutral
23,He played an random unnecessary innings and ruled us out of the tournament. He also got ruled out for Australia. #IPL2026 #CSK,CSK,neutral
24,"CHENNAI SUPER KINGS - The only team to not concede an individual century in #IPL2026 With the injuries of Ellis, Khaleel Ahmed and Gosh, this is an incredible effort. #CSK",CSK,positive
25,Vadu malli india team loki vastunada.. blud going for comeback.. make it conut @Ruutu1331 na.. #csk #msd,CSK,positive
26,"Liam Livingstone today in #VitalityBlastT20 81 (37) 4-13-3 with the ball Power-hitting + useful overs = exactly the kind of impact player teams look for. #CSK fans, should we go for him? #IPL2026 #T20Cricket",CSK,positive
27,"#CSK definitely needs an overseas opener and an overseas finisher!! Whenever we won the IPL, we had players from overseas. Hussey, Faf, Watson, Conway! I know the top order is packed, so at least we need a good finisher. #IPL2026 #WhistlePodu",CSK,positive
28,Any one reason why Kuldip Yadav was signed by #CSK instead of Ayush Vartak? 39(21) SR: 186 83(41) SR: 202.4 #IPL2026,CSK,neutral
29,R Ashwin wants CSK to change three aspects after poor IPL 2026. One is auction strategy #Ashwin #CSK,CSK,negative
30,2023 was pure cinema. #CSK under #MSDhoni: • Finished 2nd in the league stage • Beat GT in Qualifier 1 • Rain-hit Final drama • 171 target reduced to 15 overs • Last over thriller • #RavindraJadeja finishes it with 10 needed off 2 balls • Fifth #IPL,CSK,neutral
31,"1. CSK vs GT final attendance - 1,06,847 2. RCB vs GT final attendance - 82,773 3. RCB vs PBKS final attendance - 88,974 When you are Big, you are Big. #CSK #MSdhoni",CSK,positive
32,"Chennai streets aren't ready for this trio, Hardik Pandya Ben Stokes Jamie Overton CSK fans, would you take this trio? #CSK #IPL2026",CSK,positive
33,Breaking News- Mumbai Indians is in talks with Chennai super kings for a trade. Source - Dreaming #CSK fans #IPL2026,CSK,positive
34,Forget about Hardik Pandya! Are you #CSK fans okay with this trade? #IPL2026,CSK,positive
35,"This Day 2023, IPL witnessed the iconic finish and CSK clinched the 5th Title #WhistlePodu #CSK",CSK,neutral
36,"On this day (2023), #CSK sealed their 5th IPL trophy with an iconic last-ball finish.",CSK,positive
37,Instagram full with Ishan Kishan trolls X tl full with Ishan Kishan trolls Ishan Kishan instagram comments section crossed 1 lakh ++ He didn't expect this much trolls You Messed with the wrong fandom @ishankishan51 #CSK,CSK,neutral
38,Still….. #CSK 5 Trophies #RCB 2 Trophies,CSK,neutral
39,Ye stage nundi ye stage ki vachav anna @Ruutu1331 Okka comeback ivvu anna direct ga velli playing leven lo kurchovala ‍ #ruturaj #csk,CSK,positive
40,I can't handle it because its so cold #CSK #MI #RCB,CSK,neutral
41,I hadn’t thought of a double meaning to #ManOfTomorrow - I hope the movie really is that clever! #DC,DC,positive
42,"మన శ్రీకాకుళం కుర్రాడు, యువ స్పిన్ ఆల్‌రౌండర్ త్రిపురాన విజయ్ ఢిల్లీ క్యాపిటల్స్ ( #DelhiCapitals ) తరఫున ఐపీఎల్‌లో అరంగేట్రం చేయడం మన తెలుగువారందరికీ, ముఖ్యంగా నా టెక్కలి ప్రజలకు ఎనలేని సంతోషాన్ని ఇచ్చింది. ​ఏపీఎల్, డొమెస్టిక్ క్రికెట్‌లో అద్భుతంగా రాణించి, ప్రపంచంలోనే అతిపెద్ద",DC,neutral
43,Raga Of Revenge Ft @AdiviSesh @mrunal0801 #Dacoit #DC,DC,neutral
44,Exact 75 in #RajasthanRoyals power play. Scored less than 220 and match won by #DelhiCapitals All boxes ticked. #DCvsRR #RRvsDC #IPL2026,DC,neutral
45,batman looking at the batitele with baticerveza and batifacturas #BATMAN #Argentina #dc #fanart,DC,neutral
46,Himesh Reshammiya delivered a spectacular live performance in New Delhi before the IPL 2026 clash between Delhi Capitals and Rajasthan Royals. His explosive show filled the stadium with energy and excitement even before the match began. #HimeshReshammiya #IPL2026 #DelhiCapitals,DC,neutral
47,The best Batman edit ever holy peak credit to endure.vfx #batman #dc,DC,positive
48,happily married #dc #harveydent #gildadent,DC,neutral
49,How far #DC Superman can through this levels?,DC,neutral
50,DC dropped summer pics of several characters So here is one of Jason Todd #DC #JasonTodd #DCComics,DC,negative
51,#Sunrise on Saturday over the Old Post Office tower in #DC! @capitalweather @StormHour,DC,neutral
52,Street monster rx7 quad rotor MASSIVE TURBO #dc #polska #viral #rx7 #rotory,DC,neutral
53,couldnt decide which one I liked the most #dc #dccomics #starfire,DC,neutral
54,"Bit late to the party, but what a great trailer this was #DC. Loved @ArunMatheswaran work & looking forward to see @Dir_Lokesh in this version, with @anirudhofficial Music. Best wishes to the entire team of @sunpictures",DC,positive
55,"Listen to me say ""I love you"" ten thousand times #dc #DamianWayne #jondami #supersons #JonathanKent",DC,positive
56,Poison ivy x Harley Quinn #dcfanart #dc #poisonivy #harleyquinn,DC,neutral
57,"#IPL seasons without a Playoff spot What's plaguing #DelhiCapitals @bhogleharsha, @joybhattacharj & @gauravkapur review #IPL2026 @GoogleIndia",DC,neutral
58,This experienced and balanced coaching unit has the potential to deliver consistent performance and bring the IPL trophy to Delhi What are your thoughts DC fans? #DelhiCapitals #DC2027 Comment or quote your choice Doc - Head Coach- Battingcoach- Bowling coach- Mentor -,DC,positive
59,"You know, now that I think about it, I really should've put Springtrap on the heroes' side; he's so nice. I mean, he was even kind enough to give Batman a new mask. Either way Afton is the next ""villain"" to win in Heroes Vs. Villains #DC #FNAF #DEATHBATTLE",DC,positive
60,IPL 2025: 539 Runs • 54 Avg • 150 SR IPL 2026: 593 Runs • 46 Avg • 175 SR From Tuk tuk innings to complete mass domination… @klrahul back-to-back massive seasons for @DelhiCapitals #KLRahul𓃵 #DelhiCapitals #IPL2026,DC,neutral
61,"Happy 74th birthday to writer Mike W. Barr. Co-creator of Damian Wayne (1987’s Batman: Son of the Demon), Barr began in the 1970s writing within DC’s ‘Detective Comics’ and was a major presence within Batman’s mythos throughout the 1980s to the early 2000s. #Batman #DC",DC,positive
62,"KL is not going anywhere, Reports say that KL is set to be made the captain of DC. Axar's captaincy tenure is over i guess & will play as a player & might not be traded too. #IPL #DC #Trade #Deal #ipl_2026",DC,neutral
63,Seattle Orcas Bowling coach: Jason Gillespie Feilding coach: R sridhar #DelhiCapitals @t20tracker #MLC2026,DC,neutral
64,"It's beautiful, isn't it! #reflectingpool #DC #presidenttrump #LincolnMemorial #WashingtonMonument",DC,positive
65,"#DelhiCapitals finish strong A superb half-century from #KLRahul, solid support from #AxarPatel and explosive finishing from #DavidMiller help #DC post 203. Who’s winning this one? #TATAIPL | #KKRvDC | LIVE NOW https:// hotstar.onelink.me/UsKp/0uptrxl8",DC,positive
66,"#DelhiCapitals sign off in style! A dominant all-round show, led by the batters and sealed by the bowlers, helps them finish their campaign on a high. Next up #TATAIPL Playoffs! #KKRvsDC | #AjinkyaRahane, #KuldeepYadav, #KKR, #DC",DC,positive
67,"KL Rahul registers 50th fifty-plus score in IPL, 8th 500-run season; joins elite list Read @ANI Story | https:// aninews.in/news/sports/cr icket/kl-rahul-registers-50th-fifty-plus-score-in-ipl-8th-500-run-season-joins-elite-list20260518103958/ … #KLRahul #DelhiCapitals #IPL2026 #cricket #DCvsRR",DC,neutral
68,What if Black Canary yodeled instead? Anyways thanks for listening to my Ted Talk/Yodel #dc #dccomics,DC,positive
69,#KKRvsDC | Kolkata Knight Riders won the toss and elected to field first #kolkataknighriders #DelhiCapitals #Toss #ATCard #AajTakSocial #IPL2026,DC,positive
70,RISHABH PANT TO DELHI CAPITALS? A sensational reunion could be on the cards as DC push to bring Pant back. Talks are reportedly moving in the right direction. #RishabhPant #DelhiCapitals #IPL,DC,neutral
71,HARDIK PANDYA IN DELHI CAPITALS? #hardikpandya #ipl2027 #delhicapitals,DC,neutral
72,"#new A lawsuit to stop the UFC Freedom 250 event scheduled for the White House Lawn on June 14th to celebrate the nation's 250th birthday has been filed. #DC Paul Romano, and Susan Douglas, both of Virginia filed the lawsuit to stop the celebration. #ufc The complaint claims",DC,positive
73,Poor home record to toothless bowling and slow batting Inside #DelhiCapitals ’ failed #IPL2026 campaign,DC,negative
74,I'm damn sure that these two movies are gonna be #DC #Slumdog #VijaySethupathi #LokeshKanagaraj,DC,neutral
75,RISHABH PANT WAPIS AAYENGE DELHI CAPITALS? #rishabhpant #delhicapitals #ipl2027 #axarpatel,DC,neutral
76,"Horrific details shared during arraignment of #DC mom accused of so severely neglecting her twins, her 13-month-old daughter dies of malnutrition. @DHamburgReports has the disturbing story on @DCNewsNow: https:// dcnewsnow.com/news/local-new s/washington-dc/twin-baby-girl-found-dead-malnourished-in-dc-mother-charged-with-murder/ …",DC,neutral
77,Rinku Ka Tiyag Dhenayki Planning!! Laykin Coach Saab Nahi Maanrey Hay #KKR #MI #DC #CSK #ipl_2026,DC,neutral
78,Swamp Thing #DC #Vertigo,DC,neutral
79,Poison Ivy by Jim Lee #PoisonIvy #Batman #DC #Comics #DCComics,DC,neutral
80,14 POINTS KE SAATH DC KAREGA PLAYOFF MEIN ENTRY? #delhicapitals #axarpatel #klrahul #davidmiller #ipl2026,DC,neutral
81,"News Tim David of @RCBTweets has been fined 50% of his match fee for breaching Level 1 of the IPL's Code of Conduct for Players and Team Officials during the #TATAIPL 2026 Final against #GT at the Narendra Modi Stadium, Ahmedabad. Details",GT,positive
82,My calculations say that #team #GT will defeat #RCB in the final to win #IPL2026 title.,GT,positive
83,The stage is grand but the approach remains simple Shubman Gill shares #GT 's mindset heading into the #TATAIPL Final #Qualifier2 | #TheFinalLeap | #GTvRR | @ShubmanGill | @gujarat_titans,GT,positive
84,"Rajasthan Royals won, kya? A local Punjabi boy sent the RR buses back to Jaipur #PBKS #PunjabKings #GT #Gill #Shreyas #RRvGT #Punjabi",GT,neutral
85,IPL Final - 2026.. #RCB vs #GT.. RCB గెలుస్తున్నాం.. Back to back IPL cups..,GT,positive
86,"Today, the big difference between team #RR and team #GT was a Chichora captain #Parag and a mature and talented captain @ShubmanGill. If a team is having a Chichora captain then the team can never win the title. #LSG & #DC are also having Chichora captains.",GT,neutral
87,RCB Victory Flag!! IPL 2026 Champions Royal Challengers Bengaluru RCB wins the cup for the second consecutive time with a victory over the Gujarat Titans team Kohli who stunned in the finals (75 runs) #RCB #GT #Viratkohli #RCBvsGT #IPLFinal,GT,positive
88,"This is more evident from the fact that RCB has only #ViratKohli in top 10 run getters list from #IPL2026 whereas #GT has 3(Sai, Gill and Buttler) and #SRH also have 3 (Abhishek, Ishan Kishan and Klassen) but still #RoyalChallengersBangaluru managed to win the trophy as their",GT,positive
89,#IPL2026Final: RCB vs GT Revenge or another nightmare? RCB destroyed GT in Qualifier 1 and the whole RCB fanbase celebrated like they had already won their second title. Now GT have dragged themselves back into the final. It’s either revenge time for #GT … or another brutal,GT,positive
90,IPL Final 2026 as per my Astro-numero prediction GT vs RCB Winner GT ( Gujarat Titans ) Let’s see if the universe delivers another accurate call tonight. 2023 2024 2025 2026?? Lets see #GT #RCB #ipl #iplhighlights #astrology #numerology #IPL,GT,positive
91,How good has Rasikh Dar been this season? Two impressive scalps to halt #GT Updates https:// bit.ly/TATAIPL-2026-F inal … #TATAIPL | #Final | #TheFinalLeap | #RCBvGT,GT,positive
92,"Upping the ante with the same class Shubman Gill goes BANG, BANG leading #GT 's charge Updates https:// bit.ly/TATAIPL-2026-Q ualifier2 … #TATAIPL | #Qualifier2 | #TheFinalLeap | #GTvRR | @gujarat_titans",GT,positive
93,"A huge congratulations to @gujarat_titans for reaching to final of #ipl2026. Today, Team #GT completely outplayed team #RR!",GT,positive
94,The two most consistent teams in recent years are facing each other in the final tonight. #RCB #GT #IPL2026 #IPLFinal,GT,positive
95,Innings Break! Washington Sundar fights back but an all-round effort from #RCB restricts #GT to Scorecard https:// bit.ly/TATAIPL-2026-F inal … #TATAIPL | #Final | #TheFinalLeap | #RCBvGT,GT,positive
96,The most fuckin boring team of the league ever. Even kochi tuskers was far more fun #GT,GT,negative
97,Gritty fifty from #WashingtonSundar! The #GT all-rounder makes the most of the opportunity after being dropped by #JordanCox. #TATAIPL 2026 FINAL | #RCBvGT | LIVE NOW https:// hotstar.onelink.me/UsKp/vpjf0zlw,GT,neutral
98,Is this IPL final or Maha Sivaratri? What was that?? Why bring in religion into sports? @BCCI #IPL #RCB #GT #Cricket,GT,positive
99,Qualifier 2. Shubman Gill. Big runs A combination that continues to deliver for #GT #TATAIPL | #Qualifier2 | #TheFinalLeap | #GTvRR | @ShubmanGill,GT,neutral
100,"Innings Break! Another #RR charge, led by Vaibhav Sooryavanshi Will #GT chase down the to enter the Final? Scorecard https:// bit.ly/TATAIPL-2026-Q ualifier2 … #TATAIPL | #Qualifier2 | #TheFinalLeap | #GTvRR",GT,positive
101,"𝙄𝙩 𝙖𝙡𝙡 𝙘𝙤𝙢𝙚𝙨 𝙙𝙤𝙬𝙣 𝙩𝙤 𝙩𝙝𝙞𝙨 Will #RCB make it back-to-back titles and cement their dominance? Or will #GT rise once again and add a second IPL crown to their collection? #TATAIPL 2026 FINAL #RCBvGT | SUN, 31st MAY, 6 PM",GT,positive
102,"Aava De! Shubman Gill and the Gujarat Titans squad are back in their home city for the #TATAIPL Final! Will #GT lift their second title in front of their home crowd? #TATAIPL 2026 FINAL #RCBvGT | SUN, 31st MAY, 6 PM",GT,positive
103,Final set #RCB vs #GT ela iyna gelavali ra @RCBTweets inkoka decade manalni yevadhu touch cheyadhu @rrjjt_01 anna ichina matta marchipoku hamza,GT,positive
104,"With the Gujarat Titans arriving less than 24 hours before the IPL 2026 final, former India captain Sunil Gavaskar says he felt the final could have been shifted to Monday to ensure a fairer turnaround and adequate rest for GT. #IPL2026 #RCB #GT #RCBvsGT | @NikhilNaz",GT,positive
105,Shubman Gill breaks his silence following Gujarat Titans' defeat in IPL 2026 Final #IPL2026 #GT #ShubmanGill,GT,positive
106,"The road has been long, the mission isn't over #GT one #Final step away from the second #TATAIPL title #TheFinalLeap | #RCBvGT | @gujarat_titans",GT,positive
107,"If Virat Kohli Or Shubman score 50 Plus Runs today, I will transfer 500₹ to one of my followers replying to this post #RCBvGT #RCB #GT #IPL2026",GT,neutral
108,IPLની ફાઇનલથી અમદાવાદના હોટલ બિઝનેસને ચાંદી જ ચાંદી #IPL #IPL2026 #GT #GTvsRCB #hotelbusiness #toursandtravells #narendramodistadium #jamawat,GT,neutral
109,IT'S TIME. #RCB or #GT - Who will be crowned the TATA IPL 2026 Champions? #TATAIPL 2026 FINAL | #RCBvGT | LIVE NOW!,GT,positive
110,This was always going to happen. Only #RR was capable of stopping #RCB Rampage. Congrats Champion RCB once again! #GT was never worthy.,GT,positive
111,What a shot! #ShubmanGill making his intent very clear! He's hit that with absolute authority as #GT claim a commanding position in the chase. #TATAIPL Qualifier 2 #GTvRR | LIVE NOW https:// hotstar.onelink.me/UsKp/0mvcuy4z,GT,neutral
112,"Fire Breaks Out in Gujarat Titans' Bus After IPL Final, All Players Safely Evacuated ◆ The players' bus was returning to the hotel after the match when a fire broke out due to a short circuit in the bus ◆ After waiting for a while, another bus was arranged and the players",GT,positive
113,"The Prince’s territory! 3 years later, #ShubmanGill steps up again to take #GT to the final! #TATAIPL #RRvsGT",GT,positive
114,"ROYAL CHALLENGERS BENGALURU WIN IPL 2026! Rajat Patidar’s men make history. When it mattered most, King Kohli delivered once again. A disappointing batting performance from #GT on the biggest stage. #RCBvsGT",GT,positive
115,"When #GT needed a fighter, Arshad Khan answered. Swinging back with pure intent. #TATAIPL 2026 FINAL | #RCBvGT | LIVE NOW https:// hotstar.onelink.me/UsKp/vpjf0zlw",GT,positive
116,"A resolute counter from Nishant Sindhu. The #GT batters dealt in boundaries, easing the powerplay pressure on his team. #TATAIPL 2026 FINAL | #RCBvGT | LIVE NOW https:// hotstar.onelink.me/UsKp/vpjf0zlw",GT,positive
117,"Shubman Gill Sai Sudharsan Both #GT openers, with 700+ runs each this season, had an outing to forget in the final! #TATAIPL 2026 FINAL | #RCBvGT | LIVE NOW!",GT,positive
118,"VIDEO | Ahmedabad: Former India captain Sourav Ganguly arrives in Ahmedabad ahead of the RCB vs GT IPL final clash. He says, “You can’t predict who will win, so hopefully we have a good game tonight.” #IPL #RCB #GT (Full video available on PTI Videos - http:// ptivideos.com )",GT,positive
119,Nishant Sindhu was promoted to No. 3 in the final ostensibly to protect Jos Buttler. GT’s director of cricket Vikram Solanki washed his hands of the decision and passed the onus to head coach Ashish Nehra. #GT @shamik100,GT,positive
120,Gujarat Titans Reach IPL Final for the Third Time ◆ Defeated Rajasthan Royals by 7 Wickets #RRvsGT | #GT | #ShubhmanGill |,GT,positive
121,"If #KKR decides to release Matheesha Pathirana, should CSK go for him again? Thoughts, CSK fans? #IPL2026 #CSK",KKR,positive
122,The best team by a good distance this season are about to win the @IPL.. Quality display by all the players but Gautam Gambhir has brought that sprinkle of cricket strategy thinking.. #KKR,KKR,positive
123,"LATEST SCOOP #KKR are seriously eyeing a BIG move for #IshanKishan Strong discussions are reportedly underway, and sources close to the franchise reveal that KKR management is pushing aggressively to make the deal happen through a possible trade move If this goes",KKR,positive
124,"Lalit Modi reveals initially #ShahRukhKhan hesitated to buy #KKR by telling ""‘Rs 20 cr is a big part of my savings’"" Modi said #SRK ’s one of the concerns was financial. “He asked me, ‘If I happen to win a team, how much is it going to cost?’ I told him the down payment",KKR,neutral
125,PBSDK laughed at a washout game Lo ditta ek point Father remains father History never changes 12 years ago Final vich KKR ne PBSDK nu rula ditta si #KKR | #TATAIPL | #IPL2026,KKR,positive
126,Breaking: Strong talks are reportedly going on between Ishan Kishan and KKR. Insider sources from within KKR management suggest that the franchise is aggressively pushing to bring Ishan Kishan in through a potential trade deal. #KKR #IshanKishan U heard it first here!!,KKR,positive
127,"If this guy didn't come back in 2024, #KKR and #RCB would've had the same number of trophies.",KKR,neutral
128,"He could play for any of the IPL teams as well next season except #KKR cause as soon as we sign him in the auction petition to ban him will start, he can play entire season without any problem if he goes to any other team.",KKR,negative
129,"𝗔𝗟𝗠𝗢𝗦𝗧 𝗗𝗢𝗡𝗘 𝗙𝗢𝗥 𝗞𝗞𝗥 Hardik Pandya to KKR is almost a done deal, but Venky Mysore's history with trade deals is a concern. KKR shouldn't tamper with the core of this squad. If this move compromises the team's balance, it should be called off. #KKR #IPL",KKR,neutral
130,#MI shouldn't even dare to even utter the name of any of these 3 players in return while it comes to a trade of Hardik Pandya. These 3 should never ever ever ever leave #KKR.,KKR,neutral
131,Matheesha Pathirana has been ruled out of: - T20 World Cup 2026 - IPL 2026 - MLC 2026 - LPL 2026. What a downfall at his young age #IPL2026 #KKR #CSK,KKR,positive
132,Knight Army Which player among these would you love to see playing for KKR in future #KKR | #TATAIPL | #IPL2026,KKR,positive
133,Vaibhav should thank his lucky stars it wasn't #KKR making a bid for him else he would be sitting on the bench for 3 years learning how to rotate strike inside powerplay from Ajju Da.,KKR,positive
134,KKR Nation Would you accept this trade? #KKR | #TATAIPL | #IPL2026 | #MI,KKR,neutral
135,Rahane sees a big future for Kartik Tyagi and Anukul Roy. #IPL2026 #KKR,KKR,neutral
136,"𝗞𝗡𝗜𝗚𝗛𝗧 𝗛𝗘𝗔𝗗𝗟𝗜𝗡𝗘𝗦 Told it way before — KKR looked very positive and I had already said it was pretty much confirmed from their side. Even now, I'm standing by that KKR are showing the stronger intent and are pushing harder to make it happen. Have patience #KKR",KKR,neutral
137,"I just pray to God, #KKR doesn't fumble him like we did with Shubman Gill. He has the same ceiling as Gill.",KKR,neutral
138,⪼ 𝗘𝗫𝗣𝗘𝗖𝗧 𝗧𝗛𝗘 𝗨𝗡𝗘𝗫𝗣𝗘𝗖𝗧𝗘𝗗 ⪻ #kkr,KKR,neutral
139,BIGGEST NEWS OF THE MONTH Hardik Pandya and Venky Mysore were on a Zoom call today regarding Hardik's future. Several senior KKR officials were also present. Sources indicate both parties were satisfied when the call ended. Almost done #KKR #HardikPandya #IPL,KKR,neutral
140,RCB fans Celebrate until your father is on national duty Hopefully your biggest nightmare Gautam Gambhir will be back in KKR soon And he'll remind #RCB where it truly belongs #KKR #RCBvsGT #IPL2026,KKR,positive
141,"Easing the pain of #KKR ’s season finale with “a simple, small film, with a big heart.” Guaranteed by #ShahRukhKhan to lift my spirits. #AlwaysKabhiKabhi",KKR,neutral
142,"I’d love to have him at #KKR but I’m sure if it happens #MI will want someone like Rinku in return and I don’t want that. Rinku is a proper #KKR player, if it’s an all cash deal which is unlikely then only it should happen.",KKR,positive
143,Jaiswal to #KKR will make the most perfect transfer for both us and the player. We will finally have an Indian opener captain and Jaiswal will be the poster boy of #KKR. Also our opening will be sorted for the next decade with Jaiswal and Finn Allen.,KKR,neutral
144,"If RCB wins the IPL again next year, they'll be level with KKR in trophies Who would've thought just 2 years ago that RCB and KKR would be tied on IPL titles one day? Nobody All because of one disastrous bid. KKR fans will never forget that Venky Mysore masterclass. #Rcb #kkr",KKR,positive
145,CAMERA LOCATION CAUTION ON THE NORTH-SOUTH HIGHWAY (PLUS) #KKR #MalaysiaMADANI #MADANIBekerja #TangkasBertindak #YakinMADANI,KKR,neutral
146,"Once laggards in the points table.. How did #KKR bounce back in #IPL2026 @bhogleharsha, @joybhattacharj & @gauravkapur answer @GoogleIndia",KKR,neutral
147,"Ab Jitni marzi, utni selfies lo aur storage ki fikar ko kaho NO Get 5000 GB cloud storage with Google Gemini Pro, now FREE with Jio subscription. Link: https:// jio.com/dl/sm-cn #KolkataKnightRiders #KKR #Google #Jio",KKR,neutral
148,"#AjinkyaRahane #KKR #IPL2026 ""Everybody was throwing darts at him"" Former India cricketer has named Ajinkya Rahane as the best captain of IPL 2026 despite KKR missing out on the playoffs.",KKR,positive
149,Mitchell Starc gifted his signed Delhi Capitals jersey to Matheesha Pathirana #Cricket #KKR #IPL2026,KKR,neutral
150,Rinku Ka Tiyag Dhenayki Planning!! Laykin Coach Saab Nahi Maanrey Hay #KKR #MI #DC #CSK #ipl_2026,KKR,neutral
151,"Shah Rukh Khan said Rs 20 crore was a huge investment, so was hesistant to buy KKR at IPL, says Lalit Modi: 'Mobile company sponsored, gave $5 million advance' #ShahRukhKhan #IPL #KKR #kolkataknightriders #LalitModi",KKR,neutral
152,#KKRvsMI | Delhi Capitals have set a target of 204 runs for Kolkata Knight Riders #KKR #MI #ATCard #AajTakSocial #AajTakST #ipl2026,KKR,neutral
153,"Batters search for answers, but the mystery remains Sunil Narine's economies over the years in the IPL are absolutely out of this world #IPL #IPL2026 #KKR #SunilNarine",KKR,neutral
154,Happy Birthday Cameron Green KKR always had some great overseas all rounders Jacques Kallis then Andre Russell Now it's your turn Hopefully you become another success story & a big part of KKR's future #KKR | #TATAIPL | #IPL2026,KKR,positive
155,"1 June 2014 The day #KolkataKnightRiders Conquered the throne for second time & etched their name into IPL history. A night of passion, belief & glory that every #KKR fan will cherish forever. @iamsrk @KKRiders #KorboLorboJeetbo #King #ShahRukhKhan #SRKClubDelhi",KKR,positive
156,"Was #ShahRukhKhan Hesitant To Buy #IPL Team #KKR? #LalitModi Says, “Rs 20 Cr Was A Huge Investment” #bollywoodbubble",KKR,neutral
157,We can trade for Matheesha Pathirana in place of Cameron Green in Mumbai #kkr,KKR,neutral
158,"Ajinkya Rahane speaks on handling pressure and staying calm despite a difficult season The KKR skipper reflected on his captaincy future and stressed the importance of character, patience and not panicking even after a run of losses #AjinkyaRahane #KKR #IPL2026",KKR,neutral
159,"T20 World Cup winner IPL champion 628 wickets in T20s 190 wickets in List A cricket Wishing a very happy birthday to one of the greatest T20 bowlers of all time, Sunil Narine #Cricket #KKR #SunilNarine",KKR,positive
160,Happy Birthday to Cameron Green. I loved every moment of him this season in a #KKR jersey and hopefully it continues for the next 10 years. He's perfectly #KKR coded.,KKR,positive
161,Crystal Palace are bowling beautifully in the IPL … #LSG,LSG,neutral
162,Rishabh Pant steps down as #LSG captain. A fresh start ahead — but what’s next for him now? #Aakashvani #IPL,LSG,positive
163,"Rishabh Pant continuously chirping from behind the stumps, laughing with his team mates, he's just enjoying life while playing for India, that wasn't the case for 2 months while playing for #LSG may be the captaincy burden got to him as well. During #IPL we hardly heard him talk",LSG,neutral
164,People who got cortisol spike from a 5-minute Lord Shiva-themed halftime show in the final are not ready for what's waiting for them in IPL 2027. #VaranasiCricketStadium #LSG,LSG,neutral
165,Any of the 8 other teams other than #GT would've put up a better fight in this final. Even #LSG would have.,LSG,positive
166,"Really sick and tired of Goenka’s slander He is paying them fcking 27Cr for a 2 month job, results are expected Try being among the bottom 2 performers in your office, and see how your manager reacts while paying you 1% of that #IPL #LSG #PANT",LSG,neutral
